Lot No,prdcode,생산 완료 수량,생산일
C5089,FJCR002,3010,"Apr 3, 2025 12:00 AM"
C5088,FJPGM02,2970,"Apr 3, 2025 12:00 AM"
C5088,FJPGM02,1728,"Apr 3, 2025 12:00 AM"
C5082,FJCR008,3120,"Apr 3, 2025 12:00 AM"
C5089,FJCRT02,,
M5055,BAOBL0000,1000,"Apr 28, 2025 12:00 AM"
M5056,BAOBL0000,1000,"Apr 28, 2025 12:00 AM"
H5022,BAOSP0000,2000,"Apr 7, 2025 12:00 AM"
H5023,BAOSP0000,2000,"Apr 7, 2025 12:00 AM"
B5088,BNPBC0020,1000,"May 12, 2025 12:00 AM"
B5089,BNPBC0080,1000,"May 12, 2025 12:00 AM"
B5087,BNPBC0090,1000,"May 8, 2025 12:00 AM"
B5086,BNPBC0060,1000,"May 7, 2025 12:00 AM"
,PNPBC0060,,
S5068,PFJSL0030,1201,"Apr 3, 2025 12:00 AM"
S5068,FJSL003,1200,"Apr 3, 2025 12:00 AM"
E5012,FJLM002,572,"Apr 3, 2025 12:00 AM"
C5082,FJCR008,,"Apr 3, 2025 12:00 AM"
B5062,PRLBC0020,,
C5090,FJCR005,,
,PRRBM0010,,
S5068,PFJSL0030,5601,"Apr 4, 2025 12:00 AM"
C5088,FJPGM02,2238,"Apr 4, 2025 12:00 AM"
B5062,PRLBC0020,,
,PRRBM0010,2080,"Apr 4, 2025 12:00 AM"
C5088,FJCR008,631,"Apr 4, 2025 12:00 AM"
C5090,FJCR005,,"Apr 4, 2025 12:00 AM"
H5022,AOSP000,1320,"Apr 8, 2025 12:00 AM"
E4043,FJWE001,45,"Apr 4, 2025 12:00 AM"
S4049,FJSL006,450,"Apr 4, 2025 12:00 AM"
C4070,FJMK006,462,"Apr 4, 2025 12:00 AM"
S4216,FJSL008,225,"Apr 4, 2025 12:00 AM"
E4013,FJEX002,96,"Apr 4, 2025 12:00 AM"
H4069,CCVF000,300,"Apr 4, 2025 12:00 AM"
C4071,FJMK004,77,"Apr 4, 2025 12:00 AM"
