lot_number,manufacturing_date
B5322,2025-12-24
B6130,2025-07-04
C2535,2025-11-14
C3081,2025-06-11
C3081,2025-06-12
C4070,2025-04-04
C4071,2025-04-04
C4071,2025-07-01
C4104,2025-07-02
C4118,2025-05-14
C4118,2025-10-13
C4118,2025-11-13
C4177,2025-05-19
C4177,2025-06-05
C4196,2025-07-04
C4202,2025-05-14
C4223,2025-10-23
C4224,2025-07-07
C4225,2025-05-14
C4237,2025-03-25
C5004,2025-06-02
C5016,2025-04-18
C5016,2025-08-07
C5019,2025-05-12
C5020,2025-07-02
C5020,2025-07-03
C5021,2025-05-19
C5021,2025-06-02
C5021,2025-07-08
C5021,2025-10-02
C5022,2025-06-04
C5024,2025-10-22
C5024,2025-11-13
C5026,2025-05-13
C5026,2025-05-14
C5027,2025-04-07
C5027,2025-07-08
C5041,2025-05-26
C5041,2025-05-27
C5049,2025-07-01
C5049,2025-09-04
C5050,2025-04-08
C5050,2025-04-23
C5051,2025-04-23
C5054,2025-05-15
C5054,2025-07-02
C5060,2025-04-03
C5068,2025-04-03
C5073,2025-04-09
C5073,2025-05-13
C5074,2025-03-11
C5074,2025-05-20
C5074,2025-07-08
C5074,2025-10-16
C5075,2025-03-12
C5076,2025-03-12
C5077,2025-03-14
C5078,2025-03-17
C5078,2025-04-29
C5078,2025-04-30
C5078,2025-05-02
C5078,2025-05-07
C5079,2025-03-19
C5079,2025-03-20
C5079,2025-03-21
C5080,2025-03-19
C5080,2025-03-20
C5080,2025-03-21
C5081,2025-03-20
C5081,2025-03-21
C5081,2025-03-25
C5082,2025-03-20
C5082,2025-04-03
C5082,2025-04-04
C5082,2025-04-08
C5082,2025-05-14
C5082,2025-07-03
C5083,2025-03-21
C5083,2025-03-24
C5083,2025-03-26
C5084,2025-03-21
C5084,2025-03-25
C5084,2025-03-31
C5085,2025-03-26
C5085,2025-03-28
C5085,2025-06-05
C5085,2025-10-16
C5086,2025-03-28
C5086,2025-04-01
C5086,2025-04-02
C5086,2025-05-27
C5087,2025-03-28
C5087,2025-03-31
C5087,2025-05-19
C5087,2025-07-02
C5087,2025-07-07
C5088,2025-04-02
C5088,2025-04-03
C5088,2025-04-04
C5088,2025-05-08
C5088,2025-06-05
C5089,2025-04-04
C5089,2025-04-07
C5089,2025-04-10
C5089,2025-04-03
C5089,2025-04-08
C5089,2025-04-11
C5089,2025-04-09
C5089,2025-04-14
C5089,2025-04-16
C5090,2025-04-04
C5090,2025-04-03
C5090,2025-04-08
C5090,2025-04-09
C5090,2025-04-10
C5090,2025-04-11
C5090,2025-04-15
C5090,2025-04-16
C5090,2025-07-01
C5090,2025-07-02
C5090,2025-08-19
C5090,2025-08-28
C5090,2025-10-02
C5091,2025-04-08
C5091,2025-04-11
C5091,2025-04-14
C5091,2025-04-25
C5091,2025-04-28
C5091,2025-08-19
C5092,2025-04-15
C5092,2025-04-10
C5092,2025-04-16
C5092,2025-04-17
C5093,2025-05-16
C5093,2025-05-19
C5094,2025-04-09
C5094,2025-04-10
C5094,2025-04-14
C5094,2025-04-18
C5094,2025-05-16
C5096,2025-04-14
C5096,2025-04-10
C5096,2025-04-11
C5097,2025-04-11
C5097,2025-04-21
C5097,2025-07-08
C5097,2025-08-07
C5097,2025-09-29
C5097,2025-10-23
C5097,2025-11-06
C5098,2025-04-11
C5098,2025-04-25
C5098,2025-04-15
C5098,2025-05-20
C5098,2025-04-22
C5098,2025-04-28
C5098,2025-05-02
C5098,2025-05-21
C5099,2025-04-14
C5099,2025-04-16
C5099,2025-04-18
C5099,2025-04-21
C5100,2025-04-14
C5100,2025-04-17
C5100,2025-04-22
C5101,2025-04-14
C5101,2025-04-28
C5102,2025-04-15
C5102,2025-05-16
C5102,2025-05-19
C5102,2025-05-20
C5102,2025-05-21
C5102,2025-07-03
C5102,2025-07-08
C5102,2025-08-13
C5102,2025-08-14
C5102,2025-08-28
C5103,2025-04-15
C5103,2025-04-17
C5103,2025-04-21
C5103,2025-04-30
C5104,2025-04-18
C5104,2025-04-15
C5104,2025-04-22
C5105,2025-04-16
C5105,2025-04-17
C5105,2025-06-05
C5106,2025-04-16
C5106,2025-04-23
C5107,2025-04-16
C5108,2025-04-17
C5108,2025-04-24
C5108,2025-05-09
C5108,2025-06-05
C5109,2025-04-17
C5109,2025-04-21
C5109,2025-04-23
C5110,2025-04-17
C5110,2025-04-21
C5110,2025-04-22
C5110,2025-04-23
C5110,2025-04-24
C5111,2025-04-18
C5111,2025-04-22
C5111,2025-05-07
C5112,2025-04-18
C5112,2025-04-23
C5112,2025-04-25
C5112,2025-05-02
C5112,2025-08-11
C5113,2025-04-21
C5113,2025-05-29
C5113,2025-05-21
C5113,2025-05-22
C5113,2025-05-30
C5113,2025-08-11
C5113,2025-08-27
C5114,2025-04-22
C5114,2025-04-25
C5114,2025-04-30
C5115,2025-04-22
C5115,2025-04-28
C5115,2025-05-02
C5116,2025-04-24
C5116,2025-04-28
C5117,2025-05-02
C5117,2025-04-30
C5117,2025-05-08
C5117,2025-05-09
C5117,2025-05-14
C5117,2025-05-15
C5117,2025-07-03
C5117,2025-08-28
C5117,2025-10-01
C5117,2025-10-28
C5118,2025-05-07
C5118,2025-05-08
C5118,2025-05-09
C5118,2025-05-12
C5119,2025-05-08
C5119,2025-05-09
C5119,2025-05-14
C5119,2025-05-13
C5120,2025-05-08
C5120,2025-05-09
C5120,2025-05-14
C5121,2025-05-09
C5121,2025-05-12
C5121,2025-05-15
C5122,2025-05-09
C5122,2025-05-14
C5123,2025-05-09
C5123,2025-05-13
C5123,2025-05-28
C5123,2025-05-27
C5123,2025-05-29
C5123,2025-07-15
C5124,2025-05-09
C5124,2025-05-12
C5124,2025-05-15
C5124,2025-05-16
C5125,2025-05-19
C5125,2025-05-12
C5125,2025-05-14
C5125,2025-05-15
C5125,2025-05-16
C5126,2025-05-13
C5127,2025-05-13
C5129,2025-05-14
C5129,2025-05-20
C5129,2025-05-21
C5129,2025-07-01
C5130,2025-05-14
C5130,2025-05-15
C5130,2025-06-05
C5130,2025-06-09
C5130,2025-09-16
C5131,2025-05-16
C5131,2025-05-21
C5131,2025-05-20
C5131,2025-05-22
C5131,2025-06-25
C5131,2025-06-26
C5131,2025-07-15
C5132,2025-05-20
C5132,2025-05-26
C5132,2025-05-28
C5132,2025-05-29
C5133,2025-05-20
C5133,2025-05-22
C5133,2025-05-26
C5133,2025-05-27
C5133,2025-07-01
C5134,2025-05-22
C5134,2025-05-23
C5134,2025-05-26
C5134,2025-05-27
C5135,2025-05-22
C5135,2025-05-27
C5135,2025-05-28
C5135,2025-11-06
C5135,2025-12-10
C5136,2025-05-23
C5136,2025-05-26
C5136,2025-05-27
C5136,2025-05-28
C5136,2025-06-02
C5136,2025-07-01
C5137,2025-05-26
C5137,2025-05-27
C5137,2025-07-02
C5138,2025-05-29
C5138,2025-05-30
C5138,2025-06-04
C5138,2025-10-23
C5139,2025-05-29
C5139,2025-06-02
C5139,2025-06-04
C5140,2025-05-30
C5140,2025-06-05
C5140,2025-06-04
C5141,2025-05-30
C5141,2025-06-05
C5141,2025-11-25
C5142,2025-06-09
C5142,2025-06-05
C5142,2025-06-10
C5142,2025-07-18
C5143,2025-06-05
C5143,2025-06-11
C5143,2025-06-09
C5143,2025-06-10
C5144,2025-06-09
C5144,2025-06-10
C5144,2025-06-12
C5145,2025-06-09
C5145,2025-06-10
C5145,2025-06-12
C5146,2025-06-10
C5146,2025-06-11
C5146,2025-06-12
C5146,2025-06-20
C5147,2025-06-10
C5147,2025-06-11
C5147,2025-06-13
C5147,2025-06-16
C5148,2025-06-13
C5148,2025-06-16
C5148,2025-06-17
C5148,2025-06-24
C5148,2025-06-25
C5148,2025-07-02
C5148,2025-07-10
C5148,2025-07-11
C5149,2025-06-13
C5149,2025-06-19
C5149,2025-06-17
C5149,2025-06-23
C5149,2025-06-24
C5149,2025-08-06
C5150,2025-06-12
C5150,2025-06-16
C5150,2025-06-17
C5150,2025-08-28
C5151,2025-06-20
C5151,2025-06-24
C5151,2025-10-20
C5151,2025-11-06
C5152,2025-06-24
C5152,2025-06-25
C5152,2025-06-27
C5152,2025-06-26
C5152,2025-06-30
C5152,2025-09-04
C5152,2025-10-23
C5153,2025-06-30
C5153,2025-07-01
C5153,2025-07-16
C5153,2025-07-17
C5154,2025-07-01
C5154,2025-07-02
C5154,2025-07-04
C5155,2025-07-02
C5155,2025-07-03
C5155,2025-07-04
C5155,2025-07-07
C5155,2025-08-20
C5155,2025-10-22
C5155,2025-11-13
C5156,2025-07-17
C5156,2025-07-15
C5156,2025-07-18
C5156,2025-07-24
C5156,2025-07-25
C5156,2025-08-08
C5156,2025-08-13
C5156,2025-09-04
C5157,2025-07-03
C5158,2025-07-04
C5159,2025-07-04
C5160,2025-07-18
C5160,2025-07-22
C5160,2025-10-23
C5161,2025-07-18
C5161,2025-07-22
C5161,2025-07-23
C5162,2025-07-17
C5162,2025-07-21
C5162,2025-07-22
C5163,2025-07-17
C5163,2025-07-21
C5163,2025-07-23
C5164,2025-07-07
C5164,2025-07-08
C5164,2025-07-09
C5165,2025-07-07
C5165,2025-07-09
C5165,2025-08-27
C5165,2025-10-17
C5165,2025-11-10
C5165,2025-11-11
C5166,2025-07-09
C5166,2025-07-11
C5166,2025-07-14
C5166,2025-07-15
C5167,2025-07-14
C5167,2025-07-16
C5167,2025-07-15
C5167,2025-07-17
C5167,2025-07-29
C5168,2025-07-14
C5168,2025-07-17
C5168,2025-07-18
C5168,2025-07-21
C5168,2025-10-27
C5168,2025-10-28
C5169,2025-07-14
C5169,2025-07-21
C5169,2025-07-28
C5169,2025-07-22
C5169,2025-08-07
C5169,2025-08-28
C5169,2025-09-30
C5169,2025-10-22
C5169,2025-11-05
C5170,2025-07-15
C5170,2025-07-17
C5170,2025-07-21
C5170,2025-08-07
C5170,2025-08-13
C5170,2025-10-22
C5171,2025-07-15
C5171,2025-07-16
C5171,2025-07-21
C5171,2025-08-04
C5171,2025-08-05
C5171,2025-10-15
C5171,2025-11-12
C5172,2025-07-16
C5172,2025-07-21
C5172,2025-07-22
C5172,2025-08-12
C5172,2025-09-29
C5173,2025-07-17
C5173,2025-08-08
C5173,2025-08-11
C5173,2025-08-28
C5173,2025-11-06
C5174,2025-07-21
C5174,2025-07-25
C5174,2025-07-29
C5174,2025-08-04
C5174,2025-09-29
C5174,2025-11-06
C5174,2025-09-30
C5175,2025-07-21
C5175,2025-07-24
C5175,2025-08-06
C5175,2025-09-04
C5176,2025-07-25
C5176,2025-07-29
C5176,2025-07-28
C5176,2025-08-07
C5176,2025-08-28
C5176,2025-09-30
C5176,2025-10-22
C5176,2025-11-05
C5177,2025-07-24
C5177,2025-07-25
C5177,2025-10-22
C5178,2025-07-25
C5178,2025-07-28
C5178,2025-07-29
C5178,2025-10-13
C5179,2025-07-28
C5179,2025-08-04
C5179,2025-07-29
C5179,2025-10-28
C5179,2025-11-18
C5179,2025-11-19
C5180,2025-08-07
C5180,2025-08-11
C5180,2025-08-12
C5180,2025-08-13
C5181,2025-08-08
C5181,2025-08-11
C5181,2025-08-13
C5181,2025-08-14
C5182,2025-08-11
C5182,2025-08-14
C5182,2025-09-08
C5182,2025-09-04
C5182,2025-09-11
C5182,2025-11-03
C5182,2025-09-10
C5183,2025-08-12
C5183,2025-09-08
C5183,2025-09-09
C5184,2025-08-08
C5184,2025-08-12
C5184,2025-08-14
C5184,2025-08-18
C5184,2025-08-19
C5184,2025-10-23
C5184,2025-11-12
C5185,2025-08-08
C5185,2025-08-12
C5185,2025-08-19
C5186,2025-08-11
C5186,2025-08-14
C5186,2025-08-18
C5187,2025-08-12
C5187,2025-08-20
C5187,2025-08-21
C5187,2025-08-22
C5188,2025-08-12
C5188,2025-08-13
C5188,2025-08-29
C5188,2025-10-01
C5188,2025-10-27
C5189,2025-08-12
C5189,2025-08-14
C5189,2025-08-18
C5190,2025-08-13
C5190,2025-08-20
C5190,2025-08-18
C5191,2025-08-13
C5191,2025-08-20
C5192,2025-08-14
C5192,2025-08-25
C5192,2025-08-27
C5193,2025-08-14
C5194,2025-08-14
C5195,2025-08-19
C5195,2025-08-25
C5195,2025-08-21
C5195,2025-09-05
C5195,2025-10-01
C5195,2025-10-28
C5195,2025-11-13
C5196,2025-08-20
C5196,2025-08-21
C5196,2025-08-22
C5197,2025-08-21
C5197,2025-08-22
C5197,2025-08-25
C5197,2025-08-26
C5198,2025-08-21
C5198,2025-08-22
C5199,2025-08-26
C5199,2025-08-28
C5199,2025-09-16
C5199,2025-10-02
C5200,2025-08-26
